Segment,Novelty,Representativeness,Main_Topics
1,0.0,0.298,"['解決', 'よい', 'お願い', 'する', 'オッケーオッケーオッケー']"
2,0.838,0.503,"['具体', '責任', 'it', 'する', 'テーマ']"
3,0.772,0.382,"['教師', 'つける', 'える', 'クラス', 'it']"
4,0.914,0.325,"['減る', '先生', '教員', '減らす', '劇的']"
5,0.873,0.46,"['利益', '上げる', '問題', '責任', '解決']"
6,0.842,0.442,"['重要', '制度', 'it', 'でかい', 'どちら']"
7,0.921,0.317,"['黙る', 'まとまる', '意見', '挙げる', '核心']"
8,0.851,0.466,"['責任', 'てる', 'it', '進める', '全部']"
9,0.721,0.409,"['it', '私的', '音楽', '来る', '分野']"
10,0.914,0.337,"['制度', '割り切る', 'ちゃう', '無言', 'むずいな']"
11,0.93,0.392,"['教育', '国民', '意識', '現状', '財源']"
12,0.931,0.318,"['みたい', '使い方', '分かる', 'なん', 'it']"
13,0.88,0.467,"['歴史', 'ai', '思う', 'てる', '研究']"
14,0.754,0.217,"['国語', '歴史', '経済', '文系', '大丈夫']"
15,0.983,0.533,"['ai', '格差', 'する', '平等', 'てる']"
16,0.729,0.337,"['できる', '絶対', 'ai', 'やつ', 'いう']"
17,0.85,0.255,"['無理', '経験', '社会', '登校', 'やる']"
18,0.983,0.399,"['ランク', 'みたい', '教員', '格差', '試験']"
19,0.811,0.392,"['なん', '保健', '勉強', 'できる', '教員']"
20,0.989,0.248,"['終わる', '決める', '保存', '単純', 'ランク']"
